Time (s),Power (W)
573,2576.794898
574,2547.00161
575,2227.955945
576,825.9780909
577,825.9780909
578,1553.945564
579,1125.655265
580,852.2779734
581,565.8740077
582,92.68769767
583,637.4186701
584,444.4211133
585,1361.814896
586,1015.911373
587,644.6741023
588,264.4212063
589,615.9859143
590,791.9612281
591,976.344437
592,1361.814896
593,1744.469401
594,2219.609103
595,2034.471953
596,2669.519336
597,2429.90457
598,1300.300534
599,1199.434791
600,1885.72418
601,1821.476521
602,1865.042016
603,1430.095838
604,1203.378732
605,1203.378732
606,1562.267166
607,3107.884612
608,4180.251097
609,3264.701508
610,2587.66203
611,2656.336303
612,-318.3463131
613,-5325.057375
614,-4828.785137
615,-4258.688324
616,-3625.772379
617,-3206.031084
618,-2769.523302
619,-1989.680497
620,-736.4172622
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,364.5472501
647,1429.25229
648,2398.23125
649,2650.220653
650,2851.04692
651,2388.358817
652,2347.982598
653,3810.950986
654,4261.3907
655,3334.71132
656,3248.695637
657,3343.981112
658,3592.836561
659,3028.166304
660,2091.178128
661,2264.620214
662,1771.124361
663,1649.587027
664,1520.708406
665,1928.541378
666,1813.609309
667,1553.107116
668,466.6336913
669,435.876992
670,-2361.088961
671,-2987.297014
672,-3844.783352
673,-2368.39094
674,-1796.576343
675,-2766.584268
676,-2576.248015
677,-2136.211266
678,-1294.543539
679,-433.3333176
680,-299.0895855
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,239.7369868
695,833.1743423
696,866.4507753
697,1712.476121
698,2556.691236
699,2395.243688
700,2990.51862
701,2014.951907
702,3087.201655
703,1243.659749
704,527.4934342
705,791.9612281
706,3311.77233
707,2509.327921
708,2560.21911
709,3431.117385
710,2981.389851
711,1203.378732
712,494.4513884
713,2238.511727
714,2437.57513
715,1608.355898
716,-656.281779
717,-432.4324461
718,-879.109538
719,-3117.514471
720,-3516.022923
721,-3004.714525
722,-2728.153681
723,-2177.6129
724,-984.8578632
725,-589.438015
726,-164.8427882
727,-298.0049825
728,42.37836038
729,861.6391869
730,2226.592117
731,2993.722291
732,3335.201779
733,2388.358817
734,3305.929088
735,3689.99153
736,3526.734463
737,4233.854669
738,4188.454454
739,3936.031575
740,3422.140348
741,3602.338209
742,2935.896574
743,2748.605556
744,2245.205334
745,2715.631
746,2484.44496
747,1784.64323
748,1048.790942
749,1456.686381
750,1298.887902
751,565.915628
752,114.0906969
753,-1256.411174
754,-2604.988342
755,-2521.666376
756,-3252.028537
757,-2983.261725
758,-1480.05539
759,-2277.672898
760,-2978.841993
761,-2586.687886
762,-1877.407871
763,-456.2960016
764,127.3678712
765,-107.1373336
766,-12.54687647
767,630.8749231
768,1640.367296
769,2511.616306
770,3452.658133
771,4299.942936
772,3013.610347
773,1431.876118
774,1394.278664
775,1630.587295
776,2647.762232
777,3303.630366
778,4765.307599
779,3804.231646
780,2089.945616
781,869.9593639
782,1162.060633
783,2732.82731
784,1802.151152
785,1204.980037
786,74.53312192
787,-975.6695335
788,-221.2327339
789,1168.032995
790,1739.857032
791,1101.402667
792,-848.0910571
793,-540.0513239
794,-54.39794729
795,829.4363884
796,1574.356357
797,1495.485974
798,665.3383065
799,127.8843222
800,648.0200709
801,1746.307445
802,5094.015871
803,4372.611403
804,3815.483837
805,2901.796945
806,11.36183387
807,2355.775972
808,2884.794325
809,3299.909149
810,1569.064279
811,246.2239813
812,78.39201247
813,155.1896149
814,913.0458976
815,990.0223437
816,1679.932664
817,-361.3937471
818,-1247.2119
819,-200.608757
820,423.556306
821,1647.107439
822,-217.2572404
823,-485.7660551
824,-246.1117148
825,-142.1020114
826,588.1530412
827,1567.990167
828,1303.456739
829,957.1630435
830,246.3642168
831,-662.5221351
832,-760.3322264
833,-377.8334868
834,572.6768551
835,-233.1399079
836,-2880.069229
837,-3964.429602
838,-3406.671511
839,-2184.125468
840,-1256.694256
841,834.7100251
842,1801.188998
843,918.4125355
844,498.1640365
845,1375.904567
846,2159.371865
847,2263.708433
848,2187.959287
849,1865.708233
850,1706.673743
851,1561.510477
852,1155.958214
853,1977.478944
854,1531.346059
855,626.2007606
856,1091.136089
857,794.768092
858,2653.688815
859,1924.187965
860,1834.845819
861,907.0052946
862,-450.1494519
863,-2090.007776
864,-661.3787751
865,397.6400622
866,-1092.099777
867,-1040.222811
868,-1195.271304
869,279.4353788
870,924.3258483
871,1916.550889
872,1832.556358
873,1965.272813
874,1535.614658
875,1059.075437
876,892.260183
877,2454.582056
878,3233.740325
879,1885.406178
880,323.0452392
881,-498.2280281
882,-247.8282525
883,95.31429736
884,819.9297963
885,1251.616075
886,667.4866617
887,-998.471729
888,-1162.844605
